Project_Name,Project_URL,Project_Hash,Flakiness Category 
music-dl,https://github.com/0xHJK/music-dl,883b643d62c63496572f5b883f76359324a5c853,network
fuzzylogic,https://github.com/amogorkon/fuzzylogic,58bd23aeb4b6bf39bd950bcf468b0c2f5c649e69,random
noisypot,https://github.com/andim/noisyopt,625b874918ac5926c3bf05d869e914cbddfffe20,Random
Wiki-futures,https://github.com/AndrewRPorter/wiki-futures,ae6bec3aafa7c2b881b2653eae1eb528f9b63bc7,Random
ndradex,https://github.com/astropenguin/ndradex,0d1a1ed52296f7d4d38254ad081aabff8e923182,network
ontobio,https://github.com/biolink/ontobio,ade3d89729bce16e39073ede2c0f253f309dc299,network
sf-sdk,https://github.com/block-cat/sf-sdk,6c7eea2c4ee0b2aa42b90047362af716364a6d56,network
data_partitioner,https://github.com/brahle/data_partitioner,c37bca05576648c3f69f8694951bb2ae9ea9ed21,Random
forkliftpy,https://github.com/castelao/supportdata,d0b878e2779120f3cdd2d5a241addc18e26f8616,network
celery,https://github.com/celery/celery,5c34f472baec3445c478118eb921bcc0bec405c9,Concurrency
schemas,https://github.com/CIMAC-CIDC/schemas,c2b011f49361e01a2816076b9436ae46d71ba0db,IO
ashpool,https://github.com/cktc/ashpool,3a35638ecff85da94952cebf7f8684ed564693bc,Random
msp2db,https://github.com/computational-metabolomics/msp2db,fc7108625704c1074a3c085fe67d7ce72367a124,network
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,time
pysnooper,https://github.com/cool-RR/PySnooper/,da988d662dc86ada01cf7835d59c3308dc7d65e3,Time
humansort,https://github.com/coreygirard/humansort,270c4ec6f239173e51f05e2d7f514697fdbbb445,Test Case Timeout
Mxnet-octave-conv,https://github.com/CyberZHG/mxnet-octave-conv,5bbe5aa0cc6f43f242cb4a656495df70e3198f1b,Random
Torch-layer-normalization,https://github.com/CyberZHG/torch-layer-normalization,89f405b60f53f85da6f03fe685c190ef394ce50c,Random
GDAX-Python,https://github.com/danpaquin/GDAX-Python,19cac25c51e592994cfa86ec487eef6a5c76718f,network
geocoder,https://github.com/DenisCarriere/geocoder,39b9999ec70e61da9fa52fe9fe82a261ad70fa8b,network
pylabeledrf,https://github.com/dessimozlab/pylabeledrf,23e2c2b2c73d35b6c87dd332b45da8d31c0ea63f,Random
docker_compose,https://github.com/docker/compose/,153185eadb673ccd867135e072ca890bc6bed8ac,Concurrency
docker_compose,https://github.com/docker/compose/,3d3f331404d22230aa244880e9680db984a466dc,Async Wait
docker_compose,https://github.com/docker/compose/,089ec6652223acdde9c594aadfc104237e1cfbf8,Async Wait
docker_compose,https://github.com/docker/compose/,a71d9af522611947a74ffd7e0d45b720e9b69f98,Platform Dependency
docker_compose,https://github.com/docker/compose/,3f7e5bf76895413048ed5af88279899261394b32,Unknown Categories
docker_compose,https://github.com/docker/compose/,5c968f9e15e09bb53337a41560ddd2cd517d80c9,Unknown Categories
